gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,1,Blue,top,Rascal,oe:player:9daf04bfd9c8815cc827414f59f45af,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Udyr,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,2507,0,0,2,4,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,12881,308.2808,0.119309,879.7048,3157.862,18,0.4308,13,0.3111,6,61,1.4599,14627,9237,221.069,0.20184,14350,,352.0,347.0,5,,,8.4244,3479.0,4733.0,90.0,3237.0,5052.0,86.0,242.0,-319.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5366.0,7959.0,145.0,4998.0,7764.0,141.0,368.0,195.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,2,Blue,jng,Sponge,oe:player:3f4027dc08a489bd4d5390913f5dc71,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Poppy,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,2507,0,6,4,3,14,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,11256,269.3897,0.104258,889.7806,1548.7036,20,0.4787,20,0.4787,20,79,1.8907,13387,7997,191.3921,0.174745,12500,,216.0,50.0,166,,,5.1695,3588.0,3651.0,73.0,2874.0,3253.0,58.0,714.0,398.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,5397.0,5531.0,107.0,4519.0,4849.0,76.0,878.0,682.0,31.0,2.0,0.0,0.0,1.0,0.0,1.0
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,3,Blue,mid,SeTab,oe:player:4ff7b91bbc9492e9f96d28dda496653,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Orianna,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,2507,0,2,3,6,14,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,25837,618.3566,0.239313,544.7866,452.6446,19,0.4547,10,0.2393,8,43,1.0291,15142,9752,233.3945,0.213093,14000,,338.0,338.0,0,,,8.0893,3493.0,5088.0,93.0,3015.0,4682.0,75.0,478.0,406.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,5588.0,8030.0,150.0,4833.0,7571.0,128.0,755.0,459.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,4,Blue,bot,Teddy,oe:player:2b5fa564a1259b97bc238fbfa719b07,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Lucian,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,2507,0,5,4,5,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,1.0,46493,1112.7164,0.430638,807.14,470.2832,18,0.4308,18,0.4308,5,55,1.3163,19772,14382,344.2042,0.314263,20950,,392.0,368.0,24,,,9.3817,3357.0,2859.0,88.0,3285.0,3024.0,88.0,72.0,-165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.0,4849.0,138.0,4699.0,4559.0,132.0,1424.0,290.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,5,Blue,sup,Pleata,oe:player:7fdedd3126915607d5c8f42f8239253,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Nami,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,2507,0,1,1,10,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,11496,275.1336,0.106481,363.3267,168.6079,64,1.5317,10,0.2393,14,119,2.848,9786,4396,105.2094,0.0960594,9350,,33.0,33.0,0,,,0.7898,2360.0,2685.0,16.0,2283.0,2962.0,10.0,77.0,-277.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3967.0,4160.0,22.0,3477.0,4378.0,11.0,490.0,-218.0,11.0,0.0,2.0,0.0,0.0,1.0,1.0
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,6,Red,top,DnDn,oe:player:341e10748bb6d388250fd1f013e45a4,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Gnar,Ashe,Varus,Vi,Nocturne,Lee Sin,2507,1,2,4,6,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,19266,461.0929,0.160629,822.6964,1190.8576,17,0.4069,7,0.1675,9,43,1.0291,18017,12627,302.2018,0.242761,17108,,359.0,352.0,7,,,8.5919,3237.0,5052.0,86.0,3479.0,4733.0,90.0,-242.0,319.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.0,7764.0,141.0,5366.0,7959.0,145.0,-368.0,-195.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,7,Red,jng,Sylvie,oe:player:1a75a7cf8c98442be881fed562346f5,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Jax,Ashe,Varus,Vi,Nocturne,Lee Sin,2507,1,1,3,8,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,18589,444.8903,0.154985,952.0542,851.6554,30,0.718,25,0.5983,16,94,2.2497,13496,8106,194.0008,0.155843,11283,,228.0,58.0,170,,,5.4567,2874.0,3253.0,58.0,3588.0,3651.0,73.0,-714.0,-398.0,-15.0,0.0,0.0,0.0,1.0,0.0,0.0,4519.0,4849.0,76.0,5397.0,5531.0,107.0,-878.0,-682.0,-31.0,1.0,0.0,1.0,2.0,0.0,0.0
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,8,Red,mid,Callme,oe:player:87f7503a6cdacffa612aeee7f04cc7c,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Azir,Ashe,Varus,Vi,Nocturne,Lee Sin,2507,1,3,4,4,14,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,35374,846.6055,0.294928,648.7276,591.1927,15,0.359,10,0.2393,11,48,1.1488,18323,12933,309.5253,0.248644,17225,,379.0,350.0,29,,,9.0706,3015.0,4682.0,75.0,3493.0,5088.0,93.0,-478.0,-406.0,-18.0,0.0,0.0,1.0,0.0,1.0,0.0,4833.0,7571.0,128.0,5588.0,8030.0,150.0,-755.0,-459.0,-22.0,0.0,0.0,1.0,0.0,1.0,0.0
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,9,Red,bot,Jiwoo,oe:player:8643b56ba8000250b81fdaca1d7f06e,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Aphelios,Ashe,Varus,Vi,Nocturne,Lee Sin,2507,1,8,2,2,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,1.0,0.0,42247,1011.0969,0.352232,678.8831,995.9952,21,0.5026,17,0.4069,9,59,1.412,18945,13555,324.4116,0.260602,16425,,398.0,344.0,54,,,9.5253,3285.0,3024.0,88.0,3357.0,2859.0,88.0,-72.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4699.0,4559.0,132.0,6123.0,4849.0,138.0,-1424.0,-290.0,-6.0,0.0,0.0,0.0,1.0,0.0,1.0
LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,10,Red,sup,Peter,oe:player:ee051912ad5f9a97aa9ce4980cbb481,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Milio,Ashe,Varus,Vi,Nocturne,Lee Sin,2507,1,0,1,12,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351,0.6701,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4465,106.8608,0.0372266,342.1699,209.7966,71,1.6992,9,0.2154,24,126,3.0156,10183,4793,114.7108,0.0921495,9450,,20.0,20.0,0,,,0.4787,2283.0,2962.0,10.0,2360.0,2685.0,16.0,-77.0,277.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,3477.0,4378.0,11.0,3967.0,4160.0,22.0,-490.0,218.0,-11.0,0.0,1.0,1.0,0.0,2.0,0.0
